-  Year  Final                    Winner  
-  ---   ---                      ---     
-  2010  Cork v Down              Cork    
-  2011  Dublin v Kerry           Dublin  
-  2012  Donegal v Mayo           Donegal 
-  2013  Dublin v Mayo            Dublin  
-  2014  Kerry v Donegal          Kerry   
-  2015  Dublin v Kerry           Dublin  
-  2016  Dublin v Mayo (replay)   Dublin  
-  2017  Dublin v Mayo            Dublin  
-  2018  Dublin v Tyrone          Dublin  
-  2019  Dublin v Kerry (replay)  Dublin  
-  2020  Dublin v Mayo            Dublin  
-  2021  Tyrone v Mayo            Tyrone  
-  2022  Kerry v Galway           Kerry   
-  2023  Dublin v Kerry           Dublin  
-  2024  Armagh v Galway          Armagh  
-  2025  Kerry v Donegal          Kerry   
